"Name","Battery.EV..kWh.","Acceleration.sec.","TopSpeed.km.h.","Range.km.","Efficiency.Wh.km.","FastChargeSpeed.km.h.","Drive","NumberofSeats","PriceinGermany...","PriceinUK..."
"83","Polestar 2 Standard Range Single Motor",61,7.4,160,350,174,450,"Front Wheel Drive",5,46500,39900
"84","Polestar 2 Long Range Single Motor",75,7.4,160,425,176,550,"Front Wheel Drive",5,49500,42900
"85","Nissan Ariya 63kWh",63,7.5,160,335,188,450,"Front Wheel Drive",5,45000,40000
"86","Kia EV6 Long Range 2WD",77.4,7.5,185,420,184,980,"Rear Wheel Drive",5,54990,48000
"87","Byton M-Byte 72 kWh 2WD",72,7.5,190,325,222,420,"Rear Wheel Drive",5,53500,50000
"88","Lexus UX 300e",50,7.5,160,260,192,150,"Front Wheel Drive",5,47550,43900
"89","Aiways U5",63,7.5,150,335,188,350,"Front Wheel Drive",5,35993,NA
"90","Byton M-Byte 95 kWh 2WD",95,7.5,190,400,238,480,"Rear Wheel Drive",5,62000,57500
"91","Nissan Ariya 87kWh",87,7.6,160,445,196,530,"Front Wheel Drive",5,50000,45000
"92","MG MG5 EV",48.8,7.7,185,295,165,340,"Front Wheel Drive",5,NA,25095
"93","Mercedes EQA 300 4MATIC",66.5,7.7,160,350,190,420,"All Wheel Drive",5,53538,NA
"94","MG MG5 EV Long Range",57,7.7,185,340,168,340,"Front Wheel Drive",5,NA,26495
"95","Kia e-Niro 64 kWh",64,7.8,167,370,173,350,"Front Wheel Drive",5,39090,32445
"96","Kia e-Soul 64 kWh",64,7.9,167,370,173,350,"Front Wheel Drive",5,37790,NA
"97","Nissan Leaf",36,7.9,144,220,164,230,"Front Wheel Drive",5,29990,25995
"98","Kia e-Soul 64 kWh",64,7.9,167,370,173,350,"Front Wheel Drive",5,NA,37545
"99","Hyundai Kona Electric 64 kWh",64,7.9,167,395,162,370,"Front Wheel Drive",5,41850,32550
"100","Volkswagen ID.3 Pro S",77,7.9,160,450,171,550,"Rear Wheel Drive",4,41995,38800
"101","Hyundai Kona Electric 64 kWh",64,7.9,167,395,162,370,"Front Wheel Drive",5,41850,NA
"102","MG Marvel R",65,7.9,200,340,191,390,"Rear Wheel Drive",5,40000,NA
"103","Renault Megane E-Tech Electric",60,8,160,335,179,480,"Front Wheel Drive",5,38000,32500
"104","Peugeot e-208",45,8.1,150,275,164,370,"Front Wheel Drive",5,30450,27225
"105","Opel Corsa-e",45,8.1,150,275,164,370,"Front Wheel Drive",5,29000,27140
"106","MG ZS EV",42.5,8.2,140,220,193,260,"Front Wheel Drive",5,31990,25995
"107","MG MG5 Electric",57,8.3,180,340,168,440,"Front Wheel Drive",5,35000,NA
"108","Honda e Advance",28.5,8.3,145,170,168,190,"Rear Wheel Drive",4,38000,30160
"109","Volkswagen ID.4 Pro Performance",77,8.5,160,410,188,500,"Rear Wheel Drive",5,44450,41570
"110","Peugeot e-2008 SUV",45,8.5,150,250,180,330,"Front Wheel Drive",5,35450,30730
"111","Hyundai IONIQ 5 Standard Range 2WD",58,8.5,185,310,187,720,"Rear Wheel Drive",5,41900,36995
"112","Kia EV6 Standard Range 2WD",58,8.5,185,320,181,740,"Rear Wheel Drive",5,44990,40985
"113","Audi Q4 e-tron 40",76.6,8.5,160,405,189,500,"Rear Wheel Drive",5,47500,44990
"114","Audi Q4 Sportback e-tron 40",76.6,8.5,160,425,180,520,"Rear Wheel Drive",5,49500,NA
"115","Volkswagen ID.4 1st",77,8.5,160,410,188,500,"Rear Wheel Drive",5,NA,40800
"116","Opel Mokka-e",45,8.5,150,255,176,340,"Front Wheel Drive",5,34110,30540
"117","Skoda Enyaq iV 80",77,8.6,160,420,183,510,"Rear Wheel Drive",5,43950,39350
"118","DS 3 Crossback E-Tense",45,8.7,150,250,180,330,"Front Wheel Drive",5,30040,31500
"119","Skoda Enyaq iV 60",58,8.7,160,330,176,420,"Rear Wheel Drive",5,38850,31995
"120","Seres 3",52,8.9,155,270,193,390,"Front Wheel Drive",5,NA,NA
"121","Volkswagen ID.3 Pure Performance",45,8.9,160,275,164,260,"Rear Wheel Drive",5,31960,27120
"122","Mercedes EQA 250",66.5,8.9,160,355,187,420,"Front Wheel Drive",5,47541,43495
"123","CUPRA Born 110 kW - 55 kWh",45,8.9,160,275,164,440,"Rear Wheel Drive",5,32700,28500
"124","Fiat 500e Hatchback 42 kWh",37.3,9,150,250,149,420,"Front Wheel Drive",4,27560,23995
"125","Audi Q4 Sportback e-tron 35",51.5,9,160,295,175,410,"Rear Wheel Drive",5,43900,42250
"126","Fiat 500e 3+1",37.3,9,150,245,152,410,"Front Wheel Drive",4,29560,NA
"127","Sono Sion",47,9,140,260,181,310,"Front Wheel Drive",5,25500,NA
"128","Volkswagen ID.4 Pure Performance",52,9,160,285,182,410,"Rear Wheel Drive",5,38450,36030
"129","Honda e",28.5,9,145,170,168,190,"Rear Wheel Drive",4,33850,27660
"130","Audi Q4 e-tron 35",51.5,9,160,280,184,390,"Rear Wheel Drive",5,41900,40750
"131","Fiat 500e Cabrio",37.3,9,150,245,152,410,"Front Wheel Drive",4,30560,26645
"132","Fiat 500e Hatchback 24 kWh",23.8,9.5,135,165,144,260,"Front Wheel Drive",4,23560,20495
"133","Renault Zoe ZE50 R135",52,9.5,140,310,168,230,"Front Wheel Drive",5,33990,28795
"134","Volkswagen ID.3 Pro",58,9.6,160,350,166,440,"Rear Wheel Drive",5,34995,28420
"135","Citroen e-C4",45,9.7,150,250,180,330,"Front Wheel Drive",5,34640,30895
"136","Hyundai IONIQ Electric",38.3,9.7,165,250,153,220,"Front Wheel Drive",5,35350,30550
"137","Mazda MX-30",30,9.7,140,170,176,180,"Front Wheel Drive",5,34490,26045
"138","Kia e-Niro 39 kWh",39.2,9.8,155,235,167,230,"Front Wheel Drive",5,35290,30345
"139","Kia e-Soul 39 kWh",39.2,9.9,157,230,170,220,"Front Wheel Drive",5,33990,NA
"140","Hyundai Kona Electric 39 kWh",39.2,9.9,155,250,157,210,"Front Wheel Drive",5,35650,27950
"141","Hyundai Kona Electric 39 kWh",39.2,9.9,155,250,157,210,"Front Wheel Drive",5,34850,NA
"142","Lightyear One",60,10,150,575,104,540,"All Wheel Drive",5,149000,NA
"143","Volkswagen ID.4 Pure",52,10.9,160,285,182,410,"Rear Wheel Drive",5,36950,32150
"144","Skoda Enyaq iV 50",52,11.3,160,295,176,240,"Rear Wheel Drive",5,33800,NA
"145","Renault Zoe ZE50 R110",52,11.4,135,315,165,230,"Front Wheel Drive",5,31990,26795
"146","Renault Zoe ZE40 R110",41,11.4,135,255,161,230,"Front Wheel Drive",5,29990,NA
"147","Smart EQ fortwo coupe",16.7,11.6,130,100,167,NA,"Rear Wheel Drive",2,18460,19200
"148","Peugeot e-Rifter Standard 50 kWh",45,11.7,135,200,225,270,"Front Wheel Drive",7,37590,30375
"149","Peugeot e-Rifter Long 50 kWh",45,11.7,135,195,231,260,"Front Wheel Drive",7,42590,32455
"150","Volkswagen e-Up!",32.3,11.9,130,205,158,170,"Front Wheel Drive",4,NA,NA
"151","Smart EQ fortwo cabrio",16.7,11.9,130,95,176,NA,"Rear Wheel Drive",2,21720,21620
"152","JAC iEV7s",39,12,132,225,173,160,"Front Wheel Drive",5,NA,NA
"153","Mercedes EQV 300 Extra-Long",90,12.1,160,320,281,280,"Front Wheel Drive",7,72281,NA
"154","Citroen e-SpaceTourer XS 50 kWh",45,12.1,130,185,243,250,"Front Wheel Drive",7,50880,NA
"155","Citroen e-SpaceTourer M 50 kWh",45,12.1,130,185,243,250,"Front Wheel Drive",7,51440,31995
"156","Citroen e-SpaceTourer XL 50 kWh",45,12.1,130,180,250,240,"Front Wheel Drive",7,52230,NA
"157","Opel Zafira-e Life S 50 kWh",45,12.1,130,185,243,250,"Front Wheel Drive",7,56700,NA
"158","Opel Zafira-e Life M 50 kWh",45,12.1,130,185,243,250,"Front Wheel Drive",7,53800,NA
"159","Opel Zafira-e Life L 50 kWh",45,12.1,130,180,250,240,"Front Wheel Drive",7,54625,49465
"160","Peugeot e-Traveller Compact 50 kWh",45,12.1,130,185,243,250,"Front Wheel Drive",7,50880,NA
"161","Mercedes EQV 300 Long",90,12.1,160,320,281,280,"Front Wheel Drive",7,71388,70665
"162","Toyota PROACE Verso M 50 kWh",45,12.1,130,185,243,250,"Front Wheel Drive",7,58530,NA
"163","Toyota PROACE Verso L 50 kWh",45,12.1,130,180,250,240,"Front Wheel Drive",7,59385,NA
"164","SEAT Mii Electric",32.3,12.3,130,205,158,170,"Front Wheel Drive",4,24650,NA
"165","Renault Twingo Electric",21.3,12.6,135,130,164,NA,"Rear Wheel Drive",4,24790,NA
"166","Smart EQ forfour",16.7,12.7,130,95,176,NA,"Rear Wheel Drive",4,19120,19795
"167","Peugeot e-Traveller Standard 50 kWh",45,13.1,130,185,243,250,"Front Wheel Drive",7,55900,49065
"168","Peugeot e-Traveller Long 50 kWh",45,13.1,130,185,243,250,"Front Wheel Drive",7,56690,49905
"169","Toyota PROACE Verso M 75 kWh",68,13.1,130,270,252,290,"Front Wheel Drive",7,64530,NA
"170","Toyota PROACE Verso L 75 kWh",68,13.1,130,270,252,290,"Front Wheel Drive",7,65385,NA
"171","Citroen e-SpaceTourer M 75 kWh",68,13.3,130,270,252,290,"Front Wheel Drive",7,57440,NA
"172","Citroen e-SpaceTourer XL 75 kWh",68,13.3,130,270,252,290,"Front Wheel Drive",7,58230,NA
"173","Opel Zafira-e Life M 75 kWh",68,13.3,130,270,252,290,"Front Wheel Drive",7,59800,NA
"174","Opel Zafira-e Life L 75 kWh",68,13.3,130,270,252,290,"Front Wheel Drive",7,60625,NA
"175","Peugeot e-Traveller Standard 75 kWh",68,13.3,130,270,252,290,"Front Wheel Drive",7,57440,NA
"176","Peugeot e-Traveller Long 75 kWh",68,13.3,130,270,252,290,"Front Wheel Drive",7,58230,NA
"177","Nissan e-NV200 Evalia",36,14,123,165,218,170,"Front Wheel Drive",7,43433,30255
"178","Dacia Spring Electric",26.8,15,125,170,158,120,"Front Wheel Drive",4,20490,NA
"179","Renault Kangoo Maxi ZE 33",31,22.4,130,160,194,NA,"Front Wheel Drive",5,NA,31680
